Rk,Wk,Date,Time,Day,Winner/Tie,WinnerPts,At,Loser/Tie,LoserPts,Notes
1,1,Aug 29 2013,7:00 PM,Thu,Ball State,51,,Illinois State,28,
2,1,Aug 29 2013,7:00 PM,Thu,Bowling Green State,34,,Tulsa,7,
3,1,Aug 29 2013,7:00 PM,Thu,Central Florida,38,,Akron,7,
4,1,Aug 29 2013,10:30 PM,Thu,Fresno State,52,,Rutgers,51,
5,1,Aug 29 2013,7:00 PM,Thu,Indiana,73,,Indiana State,35,
6,1,Aug 29 2013,6:00 PM,Thu,Kent State,17,,Liberty,10,
7,1,Aug 29 2013,7:30 PM,Thu,Middle Tennessee State,45,,Western Carolina,24,
8,1,Aug 29 2013,7:00 PM,Thu,Minnesota,51,,Nevada-Las Vegas,23,
9,1,Aug 29 2013,9:15 PM,Thu,Mississippi,39,@,Vanderbilt,35,
10,1,Aug 29 2013,10:00 PM,Thu,San Jose State,24,,Sacramento State,0,
11,1,Aug 29 2013,6:00 PM,Thu,(6) South Carolina,27,,North Carolina,10,
12,1,Aug 29 2013,11:00 PM,Thu,(24) Southern California,30,@,Hawaii,13,
13,1,Aug 29 2013,7:30 PM,Thu,Southern Utah,22,@,South Alabama,21,
14,1,Aug 29 2013,7:30 PM,Thu,Towson,33,@,Connecticut,18,
15,1,Aug 29 2013,8:00 PM,Thu,Tulane,34,,Jackson State,7,
16,1,Aug 29 2013,8:00 PM,Thu,Utah,30,,Utah State,26,
17,1,Aug 29 2013,6:30 PM,Thu,Wake Forest,31,,Presbyterian,7,
18,1,Aug 30 2013,10:00 PM,Fri,Arizona,35,,Northern Arizona,0,
19,1,Aug 30 2013,7:00 PM,Fri,Army,28,,Morgan State,12,
20,1,Aug 30 2013,8:30 PM,Fri,Houston,62,,Southern,13,
21,1,Aug 30 2013,8:00 PM,Fri,Miami (FL),34,,Florida Atlantic,6,
22,1,Aug 30 2013,8:00 PM,Fri,Michigan State,26,,Western Michigan,13,
24,1,Aug 30 2013,7:00 PM,Fri,Samford,31,@,Georgia State,21,
25,1,Aug 30 2013,8:00 PM,Fri,Texas Tech,41,@,Southern Methodist,23,
26,1,Aug 31 2013,3:00 PM,Sat,Air Force,38,,Colgate,13,
27,1,Aug 31 2013,5:30 PM,Sat,(1) Alabama,35,,Virginia Tech,10,Georgia Dome - Atlanta GA
28,1,Aug 31 2013,4:00 PM,Sat,Arkansas,34,,Louisiana-Lafayette,14,
29,1,Aug 31 2013,7:00 PM,Sat,Arkansas State,62,,Arkansas-Pine Bluff,11,
30,1,Aug 31 2013,7:00 PM,Sat,Auburn,31,,Washington State,24,
31,1,Aug 31 2013,7:30 PM,Sat,Baylor,69,,Wofford,3,
32,1,Aug 31 2013,12:00 PM,Sat,Boston College,24,,Villanova,14,
33,1,Aug 31 2013,12:00 PM,Sat,Cincinnati,42,,Purdue,7,
34,1,Aug 31 2013,8:00 PM,Sat,(8) Clemson,38,,(5) Georgia,35,
35,1,Aug 31 2013,4:00 PM,Sat,Duke,45,,North Carolina Central,0,
36,1,Aug 31 2013,7:00 PM,Sat,East Carolina,52,,Old Dominion,38,
37,1,Aug 31 2013,8:00 PM,Sat,Eastern Illinois,40,@,San Diego State,19,
38,1,Aug 31 2013,6:00 PM,Sat,Eastern Michigan,34,,Howard,24,
39,1,Aug 31 2013,6:00 PM,Sat,Eastern Washington,49,@,(25) Oregon State,46,
40,1,Aug 31 2013,12:21 PM,Sat,(10) Florida,24,,Toledo,6,
41,1,Aug 31 2013,12:00 PM,Sat,Georgia Tech,70,,Elon,0,
42,1,Aug 31 2013,12:00 PM,Sat,Illinois,42,,Southern Illinois,34,
43,1,Aug 31 2013,9:00 PM,Sat,(12) Louisiana State,37,,(20) Texas Christian,27,AT&amp;T Stadium - Arlington TX
44,1,Aug 31 2013,7:00 PM,Sat,Marshall,52,,Miami (OH),14,
45,1,Aug 31 2013,12:30 PM,Sat,Maryland,43,,Florida International,10,
46,1,Aug 31 2013,7:00 PM,Sat,McNeese State,53,@,South Florida,21,
47,1,Aug 31 2013,3:30 PM,Sat,(17) Michigan,59,,Central Michigan,9,
48,1,Aug 31 2013,7:00 PM,Sat,Missouri,58,,Murray State,14,
